"canonicalName","entityType","variants","earliestYear","latestYear","localCd","localNote","familySearch","comparisonStatus","filmAndCallNumbers","relatedBranches","relationshipNotes","notes","sourceUrls","nameSources","leadershipOfficers"
"Aberaman","Branch","Aberamman; Aberamon","1852","1852","false","false","false","Historically verified branch; no dedicated local membership register identified","Aberaman Branch council and branch business, typed transcript page 17; Journal reference to an Aberaman Branch meeting; Journal reference to the saints meeting at Aberaman Branch","","","Explicit historical branch evidence is preserved in conference minutes, journals, Welsh Saints material, or Ronald D. Dennis publications. No dedicated Record of Members is currently identified.","https://welshsaints.byu.edu/Resource_Info.aspx?id=2759; https://welshsaints.byu.edu/Resource_Info.aspx?id=1347","[{""sourceName"":""Aberaman"",""collectionTitle"":""East Glamorgan branch and conference minutes"",""collectionBranch"":""Aberaman"",""note"":""The transcript explicitly distinguishes Aberaman Branch from Aberdare Branch and records branch council activity in 1852.""}]",""
"Aberdare","Branch","Aberdar","1844","1852","false","false","false","Historically verified branch; no dedicated local membership register identified","Named among the seven branches forming the Merthyr Tydfil Conference; Aberdare Branch council and branch business, typed transcript page 17; Variant retained for branch discovery","","","Explicit historical branch evidence is preserved in conference minutes, journals, Welsh Saints material, or Ronald D. Dennis publications. No dedicated Record of Members is currently identified.","https://welshsaints.byu.edu/Resource_Info.aspx?id=2618","[{""sourceName"":""Aberdare"",""collectionTitle"":""The Welsh and the Gospel"",""collectionBranch"":""Aberdare"",""note"":""The historical narrative names Aberdare among the seven established branches forming the Merthyr Tydfil Conference.""}]",""
"Abergavenny","Branch","Abergyfeny; Y Fenni","1840","1844","false","false","false","Historically verified branch; no dedicated local membership register identified","Missionaries arrived late 1840; Abergavenny Branch later transferred from Garway Conference to Merthyr Tydfil Conference; PDF page 30 describes the arrival of the first missionaries and the established branch; Variant retained for discovery","","","Explicit historical branch evidence is preserved in conference minutes, journals, Welsh Saints material, or Ronald D. Dennis publications. No dedicated Record of Members is currently identified.","https://welshsaints.byu.edu/Resource_Info.aspx?id=2618","[{""sourceName"":""Abergavenny"",""collectionTitle"":""The Welsh and the Gospel"",""collectionBranch"":""Abergavenny"",""note"":""The narrative identifies Abergavenny as a branch, records missionary activity beginning in late 1840, and describes its later conference transfer.""}]",""
"Abergele","Branch","","","","false","false","false","Historically verified branch; no dedicated local membership register identified","PDF page 281; Edward Parry appointed to preside after John Parry was released","","","Explicit historical branch evidence is preserved in conference minutes, journals, Welsh Saints material, or Ronald D. Dennis publications. No dedicated Record of Members is currently identified.","","[{""sourceName"":""Abergele"",""collectionTitle"":""Zion's Trumpet, 1850"",""collectionBranch"":""Abergele"",""evidenceType"":""Branch leadership/officer appointment"",""note"":""PDF page 281; Edward Parry appointed to preside after John Parry was released"",""leadership"":""Branch president: John Parry; succeeded by Edward Parry""}]","Branch president: John Parry; succeeded by Edward Parry"
"Abersychan","Branch","Abersycan","1848","1898","true","true","false","Local CD only / verify with FamilySearch","CD 25; LR 10468 7; CD 62; general minutes; Wales2Utah research note","","","Needs human review; absence from one source is not proof the branch or record was absent.","","[]",""
"Abertillery","Branch","","1861","1866","true","true","false","Verified compound local source section","CD 19; LR 195 7 compound section; images 00046-00057; 12 authoritative images; Wales2Utah research note","","","","","[{""sourceName"":""Abertillery"",""collectionTitle"":""Abertillery Branch Record of Members, 1861-1866"",""filename"":""LR-195-7_M_00046.jpg"",""viewerSequence"":1,""collectionBranch"":""Abertillery"",""lrContext"":""CD 19 / LR 195 7 compound volume"",""note"":""Abertillery occupies images 00046-00057 of the compound source. Cwm Celyn precedes this section and Tredegar begins at image 00058. The physical volume remains intact; the site exposes this range as a virtual collection.""}]",""
"Alltwen","Branch","Altwen","1849","1859","true","true","false","Local CD only / verify with FamilySearch","CD 3; LR 225 7; LR 225 7; historical/source spelling of Alltwen; Wales2Utah research note","","","Needs human review; absence from one source is not proof the branch or record was absent.","","[]",""
"Bagillt","Branch","","","","false","false","false","Historically verified branch; no dedicated local membership register identified","PDF page 95; Bagillt explicitly identified as a branch in the Flintshire organization","","","Explicit historical branch evidence is preserved in conference minutes, journals, Welsh Saints material, or Ronald D. Dennis publications. No dedicated Record of Members is currently identified.","","[{""sourceName"":""Bagillt"",""collectionTitle"":""Zion's Trumpet, 1849"",""collectionBranch"":""Bagillt"",""evidenceType"":""Branch leadership/officer appointment"",""note"":""PDF page 95; Bagillt explicitly identified as a branch in the Flintshire organization"",""leadership"":""Branch president: John Jones""}]","Branch president: John Jones"
"Beaufort","Branch","","1844","1844","false","false","false","Historically verified branch; no dedicated local membership register identified","Named among the seven branches forming the Merthyr Tydfil Conference","","","Explicit historical branch evidence is preserved in conference minutes, journals, Welsh Saints material, or Ronald D. Dennis publications. No dedicated Record of Members is currently identified.","https://welshsaints.byu.edu/Resource_Info.aspx?id=2618","[{""sourceName"":""Beaufort"",""collectionTitle"":""The Welsh and the Gospel"",""collectionBranch"":""Beaufort"",""note"":""The historical narrative explicitly lists Beaufort as one of the branches forming the Merthyr Tydfil Conference.""}]",""
"Blaenavon","Branch","","","","false","false","false","Historically verified branch; no dedicated local membership register identified","PDF page 197; Blaenavon branch presented to the Herefordshire District","","","Explicit historical branch evidence is preserved in conference minutes, journals, Welsh Saints material, or Ronald D. Dennis publications. No dedicated Record of Members is currently identified.","","[{""sourceName"":""Blaenavon"",""collectionTitle"":""Zion's Trumpet, 1850"",""collectionBranch"":""Blaenavon"",""evidenceType"":""Conference organization/branch list"",""note"":""PDF page 197; Blaenavon branch presented to the Herefordshire District""}]",""
"Brechfa","Branch","","1846","1875","true","true","false","Verified local source collection","CD 4; LR 11000 7; 62 authoritative full-resolution images","","","","","[]",""
"Brecon","Branch","","1856","1857","false","false","false","Historically verified branch; no dedicated local membership register identified","A report identifies John Jones as formerly President of Brecon Branch; PDF page 445","","","Explicit historical branch evidence is preserved in conference minutes, journals, Welsh Saints material, or Ronald D. Dennis publications. No dedicated Record of Members is currently identified.","","[{""sourceName"":""Brecon"",""collectionTitle"":""Zion's Trumpet, 1856-1857"",""collectionBranch"":""Brecon"",""note"":""The periodical explicitly identifies an officer who had served as President of Brecon Branch.""}]",""
"Britonferry","Branch","Briton Ferry","1850","1853","true","false","false","Local CD only / verify with FamilySearch","LR 11759 7; explicit Briton Ferry section, pages 43-46, in compound Llansawel/Swansea/Briton Ferry volume","","","Needs human review; absence from one source is not proof the branch or record was absent.","","[]",""
"Brynmawr","Branch","Gwaen Helygen","1848","1868","true","false","false","Verified local source collection","CD 10; LR 215 7; 93 authoritative full-resolution images","","","","","[]",""
