basename,local_file_count,branch_count,branches,distinct_md5_count,paths
848__M_00001.jpg,2,2,"21-Cardiff,1847-1876,LR14167 | Cardiff (1851-1867) - Donations, Expenditures, Minutes, Records",1,"21-Cardiff,1847-1876,LR14167/Images/848__M_00001.jpg | Cardiff (1851-1867) - Donations, Expenditures, Minutes, Records/848__M_00001.jpg"
848__M_00002.jpg,2,2,"21-Cardiff,1847-1876,LR14167 | Cardiff (1851-1867) - Donations, Expenditures, Minutes, Records",1,"21-Cardiff,1847-1876,LR14167/Images/848__M_00002.jpg | Cardiff (1851-1867) - Donations, Expenditures, Minutes, Records/848__M_00002.jpg"
848__M_00003.jpg,2,2,"21-Cardiff,1847-1876,LR14167 | Cardiff (1851-1867) - Donations, Expenditures, Minutes, Records",1,"21-Cardiff,1847-1876,LR14167/Images/848__M_00003.jpg | Cardiff (1851-1867) - Donations, Expenditures, Minutes, Records/848__M_00003.jpg"
848__M_00004.jpg,2,2,"21-Cardiff,1847-1876,LR14167 | Cardiff (1851-1867) - Donations, Expenditures, Minutes, Records",1,"21-Cardiff,1847-1876,LR14167/Images/848__M_00004.jpg | Cardiff (1851-1867) - Donations, Expenditures, Minutes, Records/848__M_00004.jpg"
848__M_00005.jpg,2,2,"21-Cardiff,1847-1876,LR14167 | Cardiff (1851-1867) - Donations, Expenditures, Minutes, Records",1,"21-Cardiff,1847-1876,LR14167/Images/848__M_00005.jpg | Cardiff (1851-1867) - Donations, Expenditures, Minutes, Records/848__M_00005.jpg"
848__M_00006.jpg,2,2,"21-Cardiff,1847-1876,LR14167 | Cardiff (1851-1867) - Donations, Expenditures, Minutes, Records",1,"21-Cardiff,1847-1876,LR14167/Images/848__M_00006.jpg | Cardiff (1851-1867) - Donations, Expenditures, Minutes, Records/848__M_00006.jpg"
848__M_00007.jpg,2,2,"21-Cardiff,1847-1876,LR14167 | Cardiff (1851-1867) - Donations, Expenditures, Minutes, Records",1,"21-Cardiff,1847-1876,LR14167/Images/848__M_00007.jpg | Cardiff (1851-1867) - Donations, Expenditures, Minutes, Records/848__M_00007.jpg"
848__M_00008.jpg,2,2,"21-Cardiff,1847-1876,LR14167 | Cardiff (1851-1867) - Donations, Expenditures, Minutes, Records",1,"21-Cardiff,1847-1876,LR14167/Images/848__M_00008.jpg | Cardiff (1851-1867) - Donations, Expenditures, Minutes, Records/848__M_00008.jpg"
848__M_00009.jpg,2,2,"21-Cardiff,1847-1876,LR14167 | Cardiff (1851-1867) - Donations, Expenditures, Minutes, Records",1,"21-Cardiff,1847-1876,LR14167/Images/848__M_00009.jpg | Cardiff (1851-1867) - Donations, Expenditures, Minutes, Records/848__M_00009.jpg"
848__M_00010.jpg,2,2,"21-Cardiff,1847-1876,LR14167 | Cardiff (1851-1867) - Donations, Expenditures, Minutes, Records",1,"21-Cardiff,1847-1876,LR14167/Images/848__M_00010.jpg | Cardiff (1851-1867) - Donations, Expenditures, Minutes, Records/848__M_00010.jpg"
848__M_00011.jpg,2,2,"21-Cardiff,1847-1876,LR14167 | Cardiff (1851-1867) - Donations, Expenditures, Minutes, Records",1,"21-Cardiff,1847-1876,LR14167/Images/848__M_00011.jpg | Cardiff (1851-1867) - Donations, Expenditures, Minutes, Records/848__M_00011.jpg"
848__M_00012.jpg,2,2,"21-Cardiff,1847-1876,LR14167 | Cardiff (1851-1867) - Donations, Expenditures, Minutes, Records",1,"21-Cardiff,1847-1876,LR14167/Images/848__M_00012.jpg | Cardiff (1851-1867) - Donations, Expenditures, Minutes, Records/848__M_00012.jpg"
848__M_00013.jpg,2,2,"21-Cardiff,1847-1876,LR14167 | Cardiff (1851-1867) - Donations, Expenditures, Minutes, Records",1,"21-Cardiff,1847-1876,LR14167/Images/848__M_00013.jpg | Cardiff (1851-1867) - Donations, Expenditures, Minutes, Records/848__M_00013.jpg"
848__M_00014.jpg,2,2,"21-Cardiff,1847-1876,LR14167 | Cardiff (1851-1867) - Donations, Expenditures, Minutes, Records",1,"21-Cardiff,1847-1876,LR14167/Images/848__M_00014.jpg | Cardiff (1851-1867) - Donations, Expenditures, Minutes, Records/848__M_00014.jpg"
848__M_00015.jpg,2,2,"21-Cardiff,1847-1876,LR14167 | Cardiff (1851-1867) - Donations, Expenditures, Minutes, Records",1,"21-Cardiff,1847-1876,LR14167/Images/848__M_00015.jpg | Cardiff (1851-1867) - Donations, Expenditures, Minutes, Records/848__M_00015.jpg"
848__M_00016.jpg,2,2,"21-Cardiff,1847-1876,LR14167 | Cardiff (1851-1867) - Donations, Expenditures, Minutes, Records",1,"21-Cardiff,1847-1876,LR14167/Images/848__M_00016.jpg | Cardiff (1851-1867) - Donations, Expenditures, Minutes, Records/848__M_00016.jpg"
848__M_00017.jpg,2,2,"21-Cardiff,1847-1876,LR14167 | Cardiff (1851-1867) - Donations, Expenditures, Minutes, Records",1,"21-Cardiff,1847-1876,LR14167/Images/848__M_00017.jpg | Cardiff (1851-1867) - Donations, Expenditures, Minutes, Records/848__M_00017.jpg"
848__M_00018.jpg,2,2,"21-Cardiff,1847-1876,LR14167 | Cardiff (1851-1867) - Donations, Expenditures, Minutes, Records",1,"21-Cardiff,1847-1876,LR14167/Images/848__M_00018.jpg | Cardiff (1851-1867) - Donations, Expenditures, Minutes, Records/848__M_00018.jpg"
848__M_00019.jpg,2,2,"21-Cardiff,1847-1876,LR14167 | Cardiff (1851-1867) - Donations, Expenditures, Minutes, Records",1,"21-Cardiff,1847-1876,LR14167/Images/848__M_00019.jpg | Cardiff (1851-1867) - Donations, Expenditures, Minutes, Records/848__M_00019.jpg"
848__M_00020.jpg,2,2,"21-Cardiff,1847-1876,LR14167 | Cardiff (1851-1867) - Donations, Expenditures, Minutes, Records",1,"21-Cardiff,1847-1876,LR14167/Images/848__M_00020.jpg | Cardiff (1851-1867) - Donations, Expenditures, Minutes, Records/848__M_00020.jpg"
848__M_00021.jpg,2,2,"21-Cardiff,1847-1876,LR14167 | Cardiff (1851-1867) - Donations, Expenditures, Minutes, Records",1,"21-Cardiff,1847-1876,LR14167/Images/848__M_00021.jpg | Cardiff (1851-1867) - Donations, Expenditures, Minutes, Records/848__M_00021.jpg"
