remote_path,remote_branch,remote_basename,remote_extension,remote_size,remote_md5,remote_sha1,present_elsewhere_on_local_disk,local_raw_path,intended_viewer_exclusion
"15-Llanfabon_1847-1869,LR1687/images/871__M_color.jpg","15-Llanfabon_1847-1869,LR1687",871__M_color.jpg,.jpg,89553,c9a88f4f84e6c9edb3852e1b8bb435a2,614f0576868480c45ddac8b8ef36da8ea965fdd6,true,"15-Llanfabon_1847-1869,LR1687/images/871__M_color.jpg",color/focus or thumbnail helper image
"15-Llanfabon_1847-1869,LR1687/images/871__M_color2.jpg","15-Llanfabon_1847-1869,LR1687",871__M_color2.jpg,.jpg,90418,34ff9c39570e5c25dc95e6a594d425ce,7e06d2d7e7853eadc4ee9df21e0d96382317a90e,true,"15-Llanfabon_1847-1869,LR1687/images/871__M_color2.jpg",color/focus or thumbnail helper image
"15-Llanfabon_1847-1869,LR1687/images/871__M_focus.jpg","15-Llanfabon_1847-1869,LR1687",871__M_focus.jpg,.jpg,680776,5f5ef03ff557cb8f2ca08b660d12fceb,165761c89927c4a4e8806320650b74ea402f22af,true,"15-Llanfabon_1847-1869,LR1687/images/871__M_focus.jpg",color/focus or thumbnail helper image
"16-Treboth,1844-1880,LR2287/images/899__M_color.jpg","16-Treboth,1844-1880,LR2287",899__M_color.jpg,.jpg,82595,9648457c25dd315cc386d3280694b8eb,b3869703cd6d7524a1d0281e09dc71075f1d384c,true,"16-Treboth,1844-1880,LR2287/images/899__M_color.jpg",color/focus or thumbnail helper image
"16-Treboth,1844-1880,LR2287/images/899__M_color2.jpg","16-Treboth,1844-1880,LR2287",899__M_color2.jpg,.jpg,83933,c2dc057bdd010dfa877e25dbb1dea227,d1f01d76b07cd155817386d0549460523caea453,true,"16-Treboth,1844-1880,LR2287/images/899__M_color2.jpg",color/focus or thumbnail helper image
"16-Treboth,1844-1880,LR2287/images/899__M_focus.jpg","16-Treboth,1844-1880,LR2287",899__M_focus.jpg,.jpg,695666,936ffdab8809d4a52b3cc477de53c31e,f1d488c915078ab4f1857a60407fff01ab32b6ec,true,"16-Treboth,1844-1880,LR2287/images/899__M_focus.jpg",color/focus or thumbnail helper image
"3-Alltwen,1849-1859,LR2257/images/845__M_color.jpg","3-Alltwen,1849-1859,LR2257",845__M_color.jpg,.jpg,92975,744230db4b642333775f57352dc247ba,cef7ac314862dfd7dc26c4f58936df2baada68e2,true,"3-Alltwen,1849-1859,LR2257/images/845__M_color.jpg",color/focus or thumbnail helper image
"3-Alltwen,1849-1859,LR2257/images/845__M_color2.jpg","3-Alltwen,1849-1859,LR2257",845__M_color2.jpg,.jpg,92841,b966034e0bdcd5216b7d103f24865c4c,4e040aa921b6d2d1fe66cb499b3e5ed13a250f59,true,"3-Alltwen,1849-1859,LR2257/images/845__M_color2.jpg",color/focus or thumbnail helper image
"3-Alltwen,1849-1859,LR2257/images/845__M_focus.jpg","3-Alltwen,1849-1859,LR2257",845__M_focus.jpg,.jpg,688189,d4e019940902d34c231f1ee86f31aa2a,d113589ebef700d9b9d2180809ae3659f152752b,true,"3-Alltwen,1849-1859,LR2257/images/845__M_focus.jpg",color/focus or thumbnail helper image
"32-Swansea,1872-1879,LR88637/images/LR-8863-7_color.jpg","32-Swansea,1872-1879,LR88637",LR-8863-7_color.jpg,.jpg,88784,458ba2c70facb01d22d261fcd9e22c52,deec42419074a6cb0536e1100268930a669cb234,true,"32-Swansea,1872-1879,LR88637/images/LR-8863-7_color.jpg",color/focus or thumbnail helper image
"32-Swansea,1872-1879,LR88637/images/LR-8863-7_color2.jpg","32-Swansea,1872-1879,LR88637",LR-8863-7_color2.jpg,.jpg,87992,dbda28b1a78ae303fa1dc27034c02894,df67f5a9fd090850d0827bb95560a30255733d46,true,"32-Swansea,1872-1879,LR88637/images/LR-8863-7_color2.jpg",color/focus or thumbnail helper image
"32-Swansea,1872-1879,LR88637/images/LR-8863-7_focus.jpg","32-Swansea,1872-1879,LR88637",LR-8863-7_focus.jpg,.jpg,665892,de82f08c3edfc769360ae2ea81c24fd6,b1538671802ceec37a970e74073de39d18e9dfb6,true,"32-Swansea,1872-1879,LR88637/images/LR-8863-7_focus.jpg",color/focus or thumbnail helper image
