source_pdf,source_pages,destination_record_group,local_output_path,remote_path,page_count,size,md5,sha1,page_content_sha256_verified,status
A - CDs 40-43 (2 of 2) - Typed Transcripts.pdf,1-82,"East Glamorgan Conference, 1851-1852","output/pdf/internet-archive-transcriptions/East Glamorgan Conference Minutes, 1851-1852 - Source CDs 40-43 Part 2.pdf","38-Glamorgan East Conference,1853-1863,LR1761621/Transcriptions/East Glamorgan Conference Minutes, 1851-1852 - Source CDs 40-43 Part 2.pdf",82,5978072,d01b3600a5f3b74086bfeb6b5dc47283,07f119a2247a5fd99c472ae1edfbb2339d47ffdf,true,approved-ready
A - CDs 40-43 (2 of 2) - Typed Transcripts.pdf,83-103,"Western Glamorgan Conference, 1851-1870","output/pdf/internet-archive-transcriptions/Western Glamorgan Conference Minutes, 1851-1870 - Source CDs 40-43 Part 2.pdf","Western Glamorgan Conference,1851-1870,LR1761721/Transcriptions/Western Glamorgan Conference Minutes, 1851-1870 - Source CDs 40-43 Part 2.pdf",21,1226462,2dfd79161193e4e96cf7009417642a92,d2c795ed1a91a6cf7bcc36963c9d3e7de16de929,true,approved-ready
A - CDs 40-43 (2 of 2) - Typed Transcripts.pdf,104,"Llanelli General Minutes, 1855-1861","output/pdf/internet-archive-transcriptions/Llanelli General Minutes, 1855-1861 - Catalog and Transcription Status.pdf","11-Llanelli,1847-1868,LR117577/Transcriptions/Llanelli General Minutes, 1855-1861 - Catalog and Transcription Status.pdf",1,43924,3100d7db1bf31f9a2cac87ba4e185d13,4a9ee476163ea8e775a83056fb94f9eb1e64ed15,true,approved-ready
A - CDs 40-43 (2 of 2) - Typed Transcripts.pdf,105-155,"Welsh District General Minutes, 1898-1911","output/pdf/internet-archive-transcriptions/Welsh District General Minutes, 1898-1911 - Source CDs 40-43 Part 2.pdf","Welsh District,1849-1911,LR1001111/Transcriptions/Welsh District General Minutes, 1898-1911 - Source CDs 40-43 Part 2.pdf",51,3509919,3559ed39ec92351c64f104d1684e3c99,6d216e5e6b4c246ece910404f86ffd95dfc966de,true,approved-ready
A - CDs 44-59 - Typed Transcripts.pdf,2-33,"Stepaside General Minutes, 1858-1860","output/pdf/internet-archive-transcriptions/Stepaside General Minutes, 1858-1860 - Source CDs 44-59.pdf","Stepaside,1858-1860,LR1272711/Transcriptions/Stepaside General Minutes, 1858-1860 - Source CDs 44-59.pdf",32,2118605,59ba11df00cad5e8b83666bbf3bf88e7,978551a2d0f28ccdcb67b2d49efba2997bd7f5e9,true,approved-ready
A - CDs 44-59 - Typed Transcripts.pdf,34,"Neath Primary Minutes, 1882-1883","output/pdf/internet-archive-transcriptions/Neath Primary Minutes, 1882-1883 - Catalog and Transcription Status.pdf","Neath,1882-1883,Primary Minutes,LR1201521/Transcriptions/Neath Primary Minutes, 1882-1883 - Catalog and Transcription Status.pdf",1,37213,13d79be49c5b9be64a2bed220c7ca51d,8fac146c05800e0a804160f8c56e82183d3a0723,true,approved-ready
A - CDs 44-59 - Typed Transcripts.pdf,35-45,"Swansea Confidential Minutes, 1877-1881","output/pdf/internet-archive-transcriptions/Swansea Confidential Minutes, 1877-1881 - Source CDs 44-59.pdf","Swansea,Confidential Minutes,1877-1881,LR886310/Transcriptions/Swansea Confidential Minutes, 1877-1881 - Source CDs 44-59.pdf",11,1358686,168b742a0b4bcd95e8bdaf48a947a0b1,cfd11adf90e83c7f2b65a0bb55d63eb18884f700,true,approved-ready
A - CDs 44-59 - Typed Transcripts.pdf,46,"Welsh Conference Minutes, 1884","output/pdf/internet-archive-transcriptions/Welsh Conference Minutes, 1884 - Catalog and Transcription Status.pdf","Welsh Conference,1884,LR1001123/Transcriptions/Welsh Conference Minutes, 1884 - Catalog and Transcription Status.pdf",1,34875,e6bcefec08612cd532c83cc6bc1e2aba,8f8bbda34f045e4e37542b395f20415aabd21e48,true,approved-ready
A - CDs 44-59 - Typed Transcripts.pdf,47-79,"Tredegar District Confidential Minutes, 1879-1882","output/pdf/internet-archive-transcriptions/Tredegar District Confidential Minutes, 1879-1882 - Source CDs 44-59.pdf","Tredegar District (1879-1882) - Confidential Minutes/Transcriptions/Tredegar District Confidential Minutes, 1879-1882 - Source CDs 44-59.pdf",33,3962979,b227421de2076f79a1ae4310a0156b17,1facc2f94445127d491f13587b624346d081c472,true,approved-ready
A - CDs 44-59 - Typed Transcripts.pdf,80,"Ystrad General Minutes, 1902-1910","output/pdf/internet-archive-transcriptions/Ystrad General Minutes, 1902-1910 - Catalog and Transcription Status.pdf","Ystrad (1902-1910) - General Minutes/Transcriptions/Ystrad General Minutes, 1902-1910 - Catalog and Transcription Status.pdf",1,49040,6e0eaec6e8e4b25ca19816314bdac44d,b629c8f9dd4736069dde127cf9ff31ed0a231094,true,approved-ready
A - CDs 44-59 - Typed Transcripts.pdf,81,"Pen Paren General Minutes, 1854-1855","output/pdf/internet-archive-transcriptions/Pen Paren General Minutes, 1854-1855 - Catalog and Transcription Status.pdf","Pen Paren,1854-1855,LR1219911/Transcriptions/Pen Paren General Minutes, 1854-1855 - Catalog and Transcription Status.pdf",1,38973,76e5ff1e183e6f3d9137c3bd005e2de2,7d56989f0752618b748966926a055a2729425e28,true,approved-ready
A - CDs 44-59 - Typed Transcripts.pdf,82,"Llansawel General Minutes, 1852-1854","output/pdf/internet-archive-transcriptions/Llansawel General Minutes, 1852-1854 - Catalog and Transcription Status.pdf","18-Llansawel,1850-1889,LR117597/Transcriptions/Llansawel General Minutes, 1852-1854 - Catalog and Transcription Status.pdf",1,37139,f68adf0b8d037a16a6706af94e97c959,1bc46472bb105c0462d59ad1884bc27a503f89ce,true,approved-ready
A - CDs 44-59 - Typed Transcripts.pdf,83,"Georgetown General Minutes, 1850-1851","output/pdf/internet-archive-transcriptions/Georgetown General Minutes, 1850-1851 - Catalog and Transcription Status.pdf","Georgetown,1850-1851,LR1128011/Transcriptions/Georgetown General Minutes, 1850-1851 - Catalog and Transcription Status.pdf",1,49323,c3e39a5201545a868491733b829858ce,260d4c120ea459bca75bbff73f1999cf154d3b89,true,approved-ready
A - CDs 44-59 - Typed Transcripts.pdf,84,"Georgetown Historical Record, 1851","output/pdf/internet-archive-transcriptions/Georgetown Historical Record, 1851 - Catalog and Transcription Status.pdf","Georgetown,1850-1851,LR1128011/Transcriptions/Georgetown Historical Record, 1851 - Catalog and Transcription Status.pdf",1,36752,ecf3aa80ec898968a8408242d3b6c6c8,20f37c5100d8a3b3aef78591941774d3f53f2414,true,approved-ready
A - CDs 44-59 - Typed Transcripts.pdf,85,"Llanelli Confidential Minutes, 1881-1882","output/pdf/internet-archive-transcriptions/Llanelli Confidential Minutes, 1881-1882 - Catalog and Transcription Status.pdf","11-Llanelli,1847-1868,LR117577/Transcriptions/Llanelli Confidential Minutes, 1881-1882 - Catalog and Transcription Status.pdf",1,51336,9bbca7507d84e26005fd63dc2906cc6d,731cd1064a859796583d7da2e698b44385f36b23,true,approved-ready
A - CDs 44-59 - Typed Transcripts.pdf,86,"Llanelli General Minutes, 1855-1861","output/pdf/internet-archive-transcriptions/Llanelli General Minutes, 1855-1861 - Catalog and Transcription Status - Source CDs 44-59.pdf","11-Llanelli,1847-1868,LR117577/Transcriptions/Llanelli General Minutes, 1855-1861 - Catalog and Transcription Status - Source CDs 44-59.pdf",1,35805,0abe8de84186cb3439d48acc84591059,041f03d752c2b8615e18d2abc1ccc6e18ba3b960,true,approved-ready
A - CDs 44-59 - Typed Transcripts.pdf,87,"Sutton Mountain General Minutes, 1853-1855","output/pdf/internet-archive-transcriptions/Sutton Mountain General Minutes, 1853-1855 - Catalog and Transcription Status.pdf","Sutton Mountain,1853-1855,LR1277011/Transcriptions/Sutton Mountain General Minutes, 1853-1855 - Catalog and Transcription Status.pdf",1,44480,fd536991c52402552b95ceae0b04fd6a,47dda4a70eb2172257d821bd78c56db5da6f8890,true,approved-ready
A - CDs 44-59 - Typed Transcripts.pdf,88-106,"Tredegar District Council Minutes, 1883-1885","output/pdf/internet-archive-transcriptions/Tredegar District Council Minutes, 1883-1885 - Source CDs 44-59.pdf","Tredegar District,1883-1885,LR1240421/Transcriptions/Tredegar District Council Minutes, 1883-1885 - Source CDs 44-59.pdf",19,2388565,2990dfef05df706190fb30d89d1d872c,8de80fd3392c224ebc189e821fb5b777f05988fc,true,approved-ready
A - CDs 44-59 - Typed Transcripts.pdf,107,"Haverfordwest General Minutes, 1852-1854","output/pdf/internet-archive-transcriptions/Haverfordwest General Minutes, 1852-1854 - Catalog and Transcription Status.pdf","23-Haverfordwest,1847-1853,LR1134321/Transcriptions/Haverfordwest General Minutes, 1852-1854 - Catalog and Transcription Status.pdf",1,45416,4057edd046e63a7b6555713a64c83246,f7ef887a004e3b3c73a318dd7a9bb842b3efb7d6,true,approved-ready
A - CDs 44-59 - Typed Transcripts.pdf,108-120,"Gymmer/Cymmer Minutes, 1852-1857 and 1863","output/pdf/internet-archive-transcriptions/Gymmer-Cymmer Minutes, 1852-1857 and 1863 - Source CDs 44-59.pdf","Gymner (1852-1857, 1863) - Minutes/Transcriptions/Gymmer-Cymmer Minutes, 1852-1857 and 1863 - Source CDs 44-59.pdf",13,1196194,1b6775c41a7cacba1dc86b450f595c8b,c706553ab37a5fc4784cd59096b80fe0fcb5b31b,true,approved-ready
