source_pdf,pdf_pages,destination_record_group,proposed_output_filename,proposed_archive_folder,status,source_note
"A - CDs 40-43 (2 of 2) - Typed Transcripts.pdf","1-82","East Glamorgan Conference, 1851-1852","East Glamorgan Conference Minutes, 1851-1852 - Source CDs 40-43 Part 2.pdf","38-Glamorgan East Conference,1853-1863,LR1761621/Transcriptions","ready","Explicit record sequence; source provenance retained"
"A - CDs 40-43 (2 of 2) - Typed Transcripts.pdf","83-103","Western Glamorgan Conference, 1851-1870","Western Glamorgan Conference Minutes, 1851-1870 - Source CDs 40-43 Part 2.pdf","Western Glamorgan Conference,1851-1870,LR1761721/Transcriptions","ready","Boundary begins with catalog and record cover"
"A - CDs 40-43 (2 of 2) - Typed Transcripts.pdf","104","Llanelli General Minutes, 1855-1861","Llanelli General Minutes, 1855-1861 - Catalog and Transcription Status.pdf","11-Llanelli,1847-1868,LR117577/Transcriptions","ready-status-page","Catalog/transcription-status page only"
"A - CDs 40-43 (2 of 2) - Typed Transcripts.pdf","105-155","Welsh District General Minutes, 1898-1911","Welsh District General Minutes, 1898-1911 - Source CDs 40-43 Part 2.pdf","Welsh District,1849-1911,LR1001111/Transcriptions","ready","Boundary begins with two-page contents description"
"A - CDs 44-59 - Typed Transcripts.pdf","2-33","Stepaside General Minutes, 1858-1860","Stepaside General Minutes, 1858-1860 - Source CDs 44-59.pdf","Stepaside,1858-1860,LR1272711/Transcriptions","ready","Page 1 is project-wide status and remains only in original source"
"A - CDs 44-59 - Typed Transcripts.pdf","34","Neath Primary Minutes, 1882-1883","Neath Primary Minutes, 1882-1883 - Catalog and Transcription Status.pdf","Neath,1882-1883,Primary Minutes,LR1201521/Transcriptions","ready-status-page","Catalog/transcription-status page only"
"A - CDs 44-59 - Typed Transcripts.pdf","35-45","Swansea Confidential Minutes, 1877-1881","Swansea Confidential Minutes, 1877-1881 - Source CDs 44-59.pdf","Swansea,Confidential Minutes,1877-1881,LR886310/Transcriptions","ready","Explicit catalog boundary"
"A - CDs 44-59 - Typed Transcripts.pdf","46","Welsh Conference Minutes, 1884","Welsh Conference Minutes, 1884 - Catalog and Transcription Status.pdf","Welsh Conference,1884,LR1001123/Transcriptions","ready-status-page","Catalog/transcription-status page only"
"A - CDs 44-59 - Typed Transcripts.pdf","47-79","Tredegar District Confidential Minutes, 1879-1882","Tredegar District Confidential Minutes, 1879-1882 - Source CDs 44-59.pdf","Tredegar District (1879-1882) - Confidential Minutes/Transcriptions","ready","Explicit catalog boundary"
"A - CDs 44-59 - Typed Transcripts.pdf","80","Ystrad General Minutes, 1902-1910","Ystrad General Minutes, 1902-1910 - Catalog and Transcription Status.pdf","Ystrad (1902-1910) - General Minutes/Transcriptions","ready-status-page","Catalog/transcription-status page only"
"A - CDs 44-59 - Typed Transcripts.pdf","81","Pen Paren General Minutes, 1854-1855","Pen Paren General Minutes, 1854-1855 - Catalog and Transcription Status.pdf","Pen Paren,1854-1855,LR1219911/Transcriptions","ready-status-page","Catalog/transcription-status page only"
"A - CDs 44-59 - Typed Transcripts.pdf","82","Llansawel General Minutes, 1852-1854","Llansawel General Minutes, 1852-1854 - Catalog and Transcription Status.pdf","18-Llansawel,1850-1889,LR117597/Transcriptions","ready-status-page","Catalog/transcription-status page only"
"A - CDs 44-59 - Typed Transcripts.pdf","83","Georgetown General Minutes, 1850-1851","Georgetown General Minutes, 1850-1851 - Catalog and Transcription Status.pdf","Georgetown,1850-1851,LR1128011/Transcriptions","ready-status-page","Catalog/transcription-status page only"
"A - CDs 44-59 - Typed Transcripts.pdf","84","Georgetown Historical Record, 1851","Georgetown Historical Record, 1851 - Catalog and Transcription Status.pdf","Georgetown,1850-1851,LR1128011/Transcriptions","ready-status-page","Catalog/transcription-status page only"
"A - CDs 44-59 - Typed Transcripts.pdf","85","Llanelli Confidential Minutes, 1881-1882","Llanelli Confidential Minutes, 1881-1882 - Catalog and Transcription Status.pdf","11-Llanelli,1847-1868,LR117577/Transcriptions","ready-status-page","Catalog/transcription-status page only"
"A - CDs 44-59 - Typed Transcripts.pdf","86","Llanelli General Minutes, 1855-1861","Llanelli General Minutes, 1855-1861 - Catalog and Transcription Status - Source CDs 44-59.pdf","11-Llanelli,1847-1868,LR117577/Transcriptions","ready-status-page","Catalog/transcription-status page only"
"A - CDs 44-59 - Typed Transcripts.pdf","87","Sutton Mountain General Minutes, 1853-1855","Sutton Mountain General Minutes, 1853-1855 - Catalog and Transcription Status.pdf","Sutton Mountain,1853-1855,LR1277011/Transcriptions","ready-status-page","Catalog/transcription-status page only"
"A - CDs 44-59 - Typed Transcripts.pdf","88-106","Tredegar District Council Minutes, 1883-1885","Tredegar District Council Minutes, 1883-1885 - Source CDs 44-59.pdf","Tredegar District,1883-1885,LR1240421/Transcriptions","ready","Explicit catalog boundary"
"A - CDs 44-59 - Typed Transcripts.pdf","107","Haverfordwest General Minutes, 1852-1854","Haverfordwest General Minutes, 1852-1854 - Catalog and Transcription Status.pdf","23-Haverfordwest,1847-1853,LR1134321/Transcriptions","ready-status-page","Catalog/transcription-status page only"
"A - CDs 44-59 - Typed Transcripts.pdf","108-120","Gymmer/Cymmer Minutes, 1852-1857 and 1863","Gymmer-Cymmer Minutes, 1852-1857 and 1863 - Source CDs 44-59.pdf","Gymner (1852-1857, 1863) - Minutes/Transcriptions","ready","Explicit catalog boundary; source uses both Gymmer and Cymmer"
"A - CDs 60-62 - Typed Transcripts.pdf","2-27","Welsh District, 1849-1854","Welsh District Minutes, 1849-1854 - Source CDs 60-62.pdf","Welsh District,1849-1911,LR1001111/Transcriptions","held-source-ambiguous","Pages 28-30 contain mixed Welsh District and Pontypool material"
"A - CDs 60-62 - Typed Transcripts.pdf","28-30","Mixed Welsh District and Pontypool","","","blocked-ambiguous","Boundary occurs within PDF page 30; no lossless page-level split is possible"
"A - CDs 60-62 - Typed Transcripts.pdf","31-38","Pontypool, 1857-1858","Pontypool Minutes, 1857-1858 - Source CDs 60-62.pdf","Pontypool (and minutes from Abersychan) -2/Transcriptions","held-source-ambiguous","Clear pages but entire source held pending mixed-page decision"
"A - CDs 60-62 - Typed Transcripts.pdf","39-126","Swansea General Minutes, 1852-1854","Swansea General Minutes, 1852-1854 - Source CDs 60-62.pdf","Swansea,1852-1854,LR886311/Transcriptions","held-source-ambiguous","Clear pages but entire source held pending mixed-page decision"
"A - CDs 60-62 - Typed Transcripts.pdf","127-176","Pontypool/Abersychan General Minutes, 1857-1889","Pontypool and Abersychan General Minutes, 1857-1889 - Source CDs 60-62.pdf","Pontypool (and minutes from Abersychan) -2/Transcriptions","held-source-ambiguous","Clear pages but entire source held pending mixed-page decision"
