type,local_path,remote_path,size,md5,sha1,source_pdf,source_pages,preflight_status
membership-image,"resources/source-cds/2-Castell Nedd,1879-1884,LR1967/images/1544__M_00101.jpg","2-Castell Nedd,1879-1884,LR1967/images/1544__M_00101.jpg",638274,ea5f09bce18715c97cd1585249c50894,d58328f27f1fa141ee3fb470e605f8e868289b2a,,,already-present-matching
membership-image,"resources/source-cds/2-Castell Nedd,1879-1884,LR1967/images/1544__M_00102.jpg","2-Castell Nedd,1879-1884,LR1967/images/1544__M_00102.jpg",667099,8f2a02e52552d15ae4ea90996d12525b,d47c95de369a3d91737eb6bc6806ec0c0e7e1d09,,,already-present-matching
membership-image,"resources/source-cds/2-Castell Nedd,1879-1884,LR1967/images/1544__M_00103.jpg","2-Castell Nedd,1879-1884,LR1967/images/1544__M_00103.jpg",656843,bcfd2f20d15637f5fe490fc89cf9444d,91e33280df7777f06394875f92b069314b88e71b,,,already-present-matching
membership-image,"resources/source-cds/2-Castell Nedd,1879-1884,LR1967/images/1544__M_00104.jpg","2-Castell Nedd,1879-1884,LR1967/images/1544__M_00104.jpg",660177,f645c6a8fdc4760096081f4dd822ee9d,db6a0b6c2db9946e5566abf831139d8297a96df7,,,already-present-matching
membership-image,"resources/source-cds/2-Castell Nedd,1879-1884,LR1967/images/1544__M_00105.jpg","2-Castell Nedd,1879-1884,LR1967/images/1544__M_00105.jpg",651111,a4b861c2a3cedaf74e3ea2ee2748f876,36d869b9b6752d5ed754a6bf4adf62c5ce8ef043,,,already-present-matching
membership-image,"resources/source-cds/2-Castell Nedd,1879-1884,LR1967/images/1544__M_00106.jpg","2-Castell Nedd,1879-1884,LR1967/images/1544__M_00106.jpg",732997,193df66c901749df7936c6e09878f996,22711d1841cde38775ff288cad0f377d11e9a402,,,already-present-matching
membership-image,"resources/source-cds/2-Castell Nedd,1879-1884,LR1967/images/1544__M_00107.jpg","2-Castell Nedd,1879-1884,LR1967/images/1544__M_00107.jpg",648756,cfeb3b4c9f7fcb39307bf449ddc02f8f,fe9fdaeb6b6fb39e82b3ffbd5293ee645f132c5f,,,already-present-matching
membership-image,"resources/source-cds/2-Castell Nedd,1879-1884,LR1967/images/1544__M_00108.jpg","2-Castell Nedd,1879-1884,LR1967/images/1544__M_00108.jpg",656464,7d017bfd861aa092f11e3297e01648cc,14ab56b92d6a6655abe317c5ad5a0cca64e8a8f7,,,already-present-matching
membership-image,"resources/source-cds/2-Castell Nedd,1879-1884,LR1967/images/1544__M_00109.jpg","2-Castell Nedd,1879-1884,LR1967/images/1544__M_00109.jpg",652343,3b7d16c2c15d4030e0c0949142798404,e1ced98b16d9a18448775b7e3a35036307ac6589,,,already-present-matching
membership-image,"resources/source-cds/2-Castell Nedd,1879-1884,LR1967/images/1544__M_00110.jpg","2-Castell Nedd,1879-1884,LR1967/images/1544__M_00110.jpg",958079,b51dc37c034992ff325d1390f0e4beed,f86c81c5b0ac192727c78967dace874cc2da254d,,,already-present-matching
membership-image,"resources/source-cds/2-Castell Nedd,1879-1884,LR1967/images/1544__M_00111.jpg","2-Castell Nedd,1879-1884,LR1967/images/1544__M_00111.jpg",975924,7cfeff3a63782ea07a538c1ed5abe1df,c11dc1238a1ae532dbf2490141497eb7da8f1afa,,,already-present-matching
membership-image,"resources/source-cds/2-Castell Nedd,1879-1884,LR1967/images/1544__M_00112.jpg","2-Castell Nedd,1879-1884,LR1967/images/1544__M_00112.jpg",414272,c44869b5a0af7619b3d772c3e854e8cd,8383e943e16d2fcaf1d8ba07d125ff747d36dcb1,,,already-present-matching
